Chemical,Label
NCGC00261900-01,0.002253
NCGC00260869-01,0.148944
NCGC00261776-01,0.555144
NCGC00261842-01,0.001490
NCGC00261662-01,0.553399
NCGC00261926-01,0.298520
NCGC00260921-01,0.175673
NCGC00261119-01,0.527058
NCGC00260831-01,0.630910
NCGC00261544-01,0.012756
NCGC00261633-01,0.000822
NCGC00261395-01,0.519903
NCGC00261717-01,0.000174
NCGC00261424-01,0.003050
NCGC00261861-01,0.110755
NCGC00261924-01,0.039632
NCGC00261052-01,0.236576
NCGC00261683-01,0.347894
NCGC00261026-01,0.145738
NCGC00261057-01,0.032734
NCGC00261738-01,0.217916
NCGC00261348-01,0.001599
NCGC00261503-01,0.010673
NCGC00260693-01,0.001667
NCGC00260703-01,0.003974
NCGC00260716-01,0.002627
NCGC00260782-01,0.001973
NCGC00260802-01,0.002239
NCGC00260823-01,0.000573
NCGC00261313-01,0.000805
NCGC00260757-01,0.005782
NCGC00260826-01,0.027498
NCGC00261005-01,0.007731
NCGC00260980-01,0.014311
NCGC00261816-01,0.005693
NCGC00260698-01,0.001481
NCGC00260889-01,0.096011
NCGC00260811-01,0.010769
NCGC00261165-01,0.003007
NCGC00261060-01,0.002965
NCGC00261541-01,0.006208
NCGC00261649-01,0.002474
NCGC00261110-01,0.165510
NCGC00261130-01,0.108857
NCGC00260846-01,0.281938
NCGC00261030-01,0.082251
NCGC00261162-01,0.136632
NCGC00261058-01,0.444945
NCGC00261404-01,0.035858
NCGC00261423-01,0.126959
NCGC00261856-01,0.456303
NCGC00261342-01,0.010565
NCGC00261935-01,0.031176
NCGC00261069-01,0.296788
NCGC00261101-01,0.338286
NCGC00261183-01,0.001261
NCGC00261716-01,0.000830
NCGC00260742-01,0.007990
NCGC00261529-01,0.023989
NCGC00261170-01,0.207974
NCGC00261565-01,0.062617
NCGC00260990-01,0.718082
NCGC00261340-01,0.491585
NCGC00261079-01,0.038182
NCGC00261389-01,0.013923
NCGC00261744-01,0.002927
NCGC00261420-01,0.024772
NCGC00261215-01,0.005534
NCGC00261826-01,0.011148
NCGC00260706-01,0.016469
NCGC00261123-01,0.175287
NCGC00261367-01,0.034988
NCGC00261507-01,0.080820
NCGC00261169-01,0.009616
NCGC00261730-01,0.236542
NCGC00261624-01,0.024421
NCGC00261641-01,0.028589
NCGC00261853-01,0.160816
NCGC00260911-01,0.007027
NCGC00260798-01,0.015941
NCGC00261384-01,0.412147
NCGC00260785-01,0.258882
NCGC00261597-01,0.010126
NCGC00261025-01,0.031996
NCGC00260789-01,0.304953
NCGC00260866-01,0.567282
NCGC00261189-01,0.010209
NCGC00261270-01,0.542865
NCGC00261611-01,0.032792
NCGC00261160-01,0.181923
NCGC00261085-01,0.006256
NCGC00261817-01,0.319877
NCGC00261866-01,0.192203
NCGC00260852-01,0.638391
NCGC00261290-01,0.300423
NCGC00261304-01,0.113446
NCGC00261704-01,0.505913
NCGC00260850-01,0.065628
NCGC00260972-01,0.069007
